Predict,y
1.44800864,0
1.55938754,2.954
1.43359012,0
1.2131124,0
1.56356462,0.465
1.37080091,2.888
1.12246328,0
1.52211209,0
0.8215556,2.7
0.85427102,1.955
1.0283528,0.466
1.4704996,1.465
1.06097804,0.442
0.94484992,2.256
1.53348287,3.878
1.22312421,0
1.36169124,1.436
1.68508159,1.484
1.06659694,3.275
1.63038557,2.262
1.61044704,1.418
1.08555812,0.466
1.56065512,6.002
1.32813602,0.465
1.61274283,0.534
1.18426966,0
1.2502544,0.466
1.28940013,3.257
1.39029185,3.114
0.95053779,0.932
1.2294763,0.465
1.47142899,2.433
1.25842159,2.128
1.42024185,0.951
1.82705629,2.792
1.55496124,5.467
1.51048325,0
1.30107953,3.505
1.00889654,0.643
1.14422318,0
0.89987617,0
1.32929098,0
0.69989865,8.808
1.55877074,1.869
1.47510374,0.643
1.01504435,5.945
1.21762898,0.465
1.42132264,0
0.82686765,0.442
1.44037789,1.003
1.09830513,0
1.16782958,2.766
1.4218319,0
1.41943986,1.286
1.3910284,1.465
1.74980995,1.897
1.54311767,1.95
1.19238431,0
1.25480756,0
1.61032446,0.466
1.12370102,1.38
1.04917883,0
1.31523814,0
1.02353118,0.643
1.53707151,0.417
1.10641757,4.561
1.17820655,3.104
1.3261605,0
1.6022339,1.902
1.62561124,0
0.51552153,0.883
1.32914372,0.465
1.07408534,2.779
1.03523464,0
1.13777148,0
1.39165148,0
1.52969868,1.549
0.73523034,1.393
1.48280529,4.777
1.48145504,2.366
1.29848267,0.442
0.93629945,0
1.09123247,4.614
1.09295555,0
1.45706288,0.883
1.11204973,2.433
1.07939395,1.59
1.11089631,4.251
1.24894659,7.84
1.03745138,0.908
1.64269689,0.883
2.01346091,1.762
1.35430216,0
0.70562549,2.906
1.2193082,0
1.19936725,1.441
1.92027535,2.217
1.71758521,2.43
1.0656349,0
0.9743171,1.334
1.32553479,4.242
0.95568946,0.534
1.20495911,1.484
1.27946212,3.461
1.45756766,0.412
1.27286918,0
1.79580905,0
1.32182357,2.464
1.34850841,0.999
1.28892711,0.902
0.78324154,0
1.6535281,0.442
1.55368869,2.55
1.60055098,1.485
1.06454117,2.189
1.23226384,4.186
1.74266704,1.128
1.4889263,0.417
0.96564421,0
1.15901796,0.466
1.51433047,0.465
1.57084961,3.917
0.98170452,0.534
1.39005016,0
1.57093479,1.642
1.00419875,0
1.02213582,0.931
1.22372697,1.273
1.11562032,2.929
1.70672679,5.34
1.17055158,0.417
1.03001988,1.902
0.76324335,1.643
1.29911718,3.194
1.33675344,0.417
1.46728024,0
1.39634809,0
1.15794874,0.442
1.30752954,1.348
1.56005745,0
1.84719739,0.442
1.185273,0
1.48102147,1.95
1.33261564,0
1.67906584,1
1.9688209,1.642
1.34931508,1.643
0.97218027,0
1.38868783,0.466
1.29930598,0
1.47172288,0.907
1.63366643,3.182
1.50123876,0.643
0.90194216,1.085
1.68472413,3.261
0.84647508,5.95
1.03151403,2.368
2.26025817,2.784
0.85165194,0
1.5294959,0.442
1.00020949,1.3
1.10255131,1.325
1.36607577,3.208
1.22852893,0.883
1.32400068,2.536
1.24265983,4.257
0.91092368,0.465
1.38930316,3.717
1.71229719,2.311
1.44093863,0.902
1.6327922,2.367
1.1654631,0.643
1.43951182,0.466
1.36248146,0
1.22319724,2.108
1.29589961,3.187
0.97060502,3.439
1.1230999,2.832
1.48692469,0
1.90520155,0
1.35252642,0.976
1.09325612,0.412
1.79880082,0.442
1.31684703,0
1.53489476,1.95
1.33685636,0
0.85686762,1.343
1.90530526,0
1.36494485,1.902
1.11622181,0.883
1.51748599,1.792
1.59055848,4.215
1.37497449,1.822
0.70745107,0
0.77293836,1.25
1.22465638,0.466
1.45940365,2.661
1.48772671,1.882
0.87264263,3.5
1.55014977,3.392
1.30372137,1.373
1.70446346,1
1.71849721,2.181
1.33688334,0.643
1.61738118,0.976
1.92349957,0.931
1.3966801,0.465
1.07904766,0
2.27558544,1.785
1.19018205,0.931
1.62248635,0
0.93478823,1.348
1.26167098,1.019
1.42666559,1.796
0.90180509,0.854
1.11238356,0
0.84462282,1.902
1.30932173,0
1.60136721,1.085
1.83974405,0.892
1.10038292,0.882
1.12592043,0.466
1.66021381,0.643
0.88334155,0
0.98800857,6.744
1.70146522,1.393
1.2609343,0.485
0.87102649,0.466
1.30586279,0.846
1.33064403,1.915
2.0700819,8.715
1.52101215,2.324
1.25586711,2.243
0.9092295,0
1.74002245,3.135
1.16443995,1
1.48717334,0.931
1.25155102,0.465
1.69066367,1.335
1.32866927,6.912
1.02974136,4.59
1.89540598,0.883
1.56021106,2.568
1.21442301,1.489
1.38699386,2.726
1.11675382,1.465
1.95612394,2.367
1.02347082,2.545
1.4718943,2.662
1.25244261,1.838
1.61401199,3.415
1.11153641,6.899
1.25523185,0
1.67075166,0.951
1.38387903,3.794
1.98314942,1.465
1.21120495,3.483
1.42528925,1.286
1.68690287,2.464
1.18996853,5.063
1.48574449,0.485
1.30176394,0
1.32363073,0.442
1.45244014,1.349
1.15526112,0.417
1.21017229,0
1.55604469,0.466
0.53152954,3.196
1.37941436,1.325
1.02273034,0.465
1.02758645,0.442
1.52644662,0
2.043922,2.395
1.54685115,2.54
0.63105615,0
1.45005464,0.976
1.28449902,3.627
1.53077498,0.466
1.06429653,0.417
1.26641384,0
1.0414421,1.311
1.46126937,4.923
1.48065659,0
0.92161293,0
1.49592475,2.03
1.52406619,0
1.53159146,0
1.16824259,1.574
1.77883337,2.35
1.17421053,3.661
1.15605623,0
1.29319678,1.95
1.05546419,0.466
1.58894192,1.884
1.08868189,1.549
1.55850626,2.476
1.47441069,1.128
1.7498425,2.362
1.50784488,2.878
1.12209842,1.314
1.92084507,0.404
1.38875897,0.643
1.23937784,0.931
1.32772036,0
1.34899717,2.108
1.55785176,2.59
1.24654201,0.464
1.33522332,0.485
1.36589911,1.573
1.1399053,3.487
1.52529302,0.883
1.3481716,0
0.92770946,3.624
1.22945784,0
1.45639266,0
1.39739722,1.729
1.94241019,0.643
1.37446972,0.466
1.68148233,1.347
1.6007534,2.593
1.33710855,1.466
1.76620653,2.661
0.86103179,0.534
1.89939243,0.465
0.76694235,0
0.98959327,0
1.12915241,0
1.50546375,0
1.40514094,1.325
1.57354558,4.136
1.53176485,1.416
1.31986699,1.312
1.37251001,4.042
1.36161704,0
1.6735629,0.466
1.34824301,0
1.20142531,3.232
1.14064379,0
1.20173359,1.525
1.31924177,0
1.68124983,1.952
1.60311849,0.466
1.11451577,0
1.45034746,0
1.61618804,0
1.46035692,1.085
1.8024536,0
1.52045182,2.488
1.58586276,0
1.50741288,0
1.72102856,3.709
1.5164774,0.999
1.71445637,0
1.8108966,3.27
1.25726452,6.494
1.42617447,2.722
0.72362471,0.466
1.36919989,0.465
1.13015898,0.883
1.46568715,0.882
1.61551564,1.372
1.21628534,1.942
1.2082046,4.159
1.16800238,0.931
1.1216535,0
1.58208874,0
1.24189023,0.908
1.3914906,0.95
1.00920727,6.999
1.19975189,0.404
1.19940577,0.93
0.85906622,0.464
1.95514707,0.93
1.67774312,0
1.11242838,0
1.35963541,0
1.13113361,0.534
1.3338932,2.276
1.67692771,7.043
1.63532742,2.367
1.71954717,0.466
1.39088766,1.415
2.07317438,0.442
0.83504091,3.298
1.28555708,0.466
1.44846976,0.465
1.0571941,2.553
0.82341952,0
1.6530641,0.907
1.44820998,0.931
1.23062269,0.417
1.1509521,0.465
0.80914503,0.643
1.76174203,1.954
1.32962275,1.019
1.57658908,0
0.90921753,0.643
0.85349521,3.338
0.77435029,4.25
1.18154546,2.003
1.20600189,0
0.7207485,2.421
1.68244736,0.907
1.28869717,2.786
1.2226464,0
0.77391851,2.258
1.16370879,1.085
1.32636528,0
1.27183683,1.95
1.15580468,1
1.00191297,0
1.88706897,1.907
0.63695829,0.488
1.26014233,5.376
1.20238196,0
1.52712525,0.485
0.88571329,0
1.18177158,0.908
1.53084377,0
0.8949462,3.433
1.28039617,0.951
1.08153887,1.368
2.05740236,0
1.46037436,4.665
1.42207516,2.373
1.37451946,0.465
1.1610443,0.442
1.87869467,1.416
1.12916853,2.278
1.35050128,0.643
0.99677115,0
1.16503875,1.38
1.22842072,0
1.55226442,0
1.14602846,2.705
1.24967754,4.622
1.43427711,0
1.24747342,1.974
0.76623193,0
1.17029483,0
1.42586863,0.938
1.43356787,0
1.42764685,1.816
1.47802493,0
1.34899546,0
1.47450451,0
1.02881707,2.127
1.12096071,0.485
1.16833936,3.776
1.38853865,0
1.29451329,0
1.79911942,0.883
1.1413324,1.642
0.99514018,0
1.57482388,1.483
1.2998314,0.442
1.64736193,0.534
1.14528406,0.999
1.57966613,0
1.50028573,0
1.26224739,1.335
1.4381575,0.465
1.97625508,2.203
1.5897043,0
1.62186221,3.322
1.35851045,2.006
1.022842,0
1.92923271,2.031
1.35597344,0.417
1.43154862,1.865
1.19205372,0.442
0.96196029,0
1.43792461,2.593
1.11029297,3.794
1.64228119,1.902
0.87207779,0
1.41735711,0.882
1.16089709,3.391
0.87570396,4.124
1.00630582,6.927
1.36523235,0
1.61930778,0.976
1.47903654,1
1.43638294,0
1.17481444,0.466
0.62466498,0.931
1.36487371,3.723
1.519487,2.962
0.96332115,0.465
1.86330417,2.023
1.76881683,0.931
1.12850794,0
0.84653737,5.224
0.97028467,2.545
1.27086963,0.883
1.43466774,1.004
1.34260192,3.246
0.88307911,0
0.89645605,0.485
1.90410477,1.908
1.2138243,2.353
1.38269759,0
1.65450806,0.643
1.26903205,4.719
1.82323427,1.614
0.86337294,0.534
1.52168842,3.606
1.39970518,2.973
1.34481945,0
1.32675851,0.466
1.48468949,0.931
0.72807307,0
0.74243426,0.465
1.15997692,1.907
1.53239984,0.883
1.20322784,0.931
1.71643172,0.466
0.74470583,0.466
0.82768672,0
1.06695272,0.931
1.35219069,0
0.8715292,3.226
1.0167141,1.566
2.0452904,1.859
0.99437647,0.465
1.97592888,0.534
1.34155353,1.513
1.14054278,5.158
0.9456927,0
1.67420879,0.938
1.52641428,1.465
1.3980044,3.674
1.73900895,0.404
1.24595574,0
1.21170165,0
1.60182869,0.466
0.86066546,0.931
1.24826314,0.883
0.74902856,0
1.0986638,0
1.10570159,1.019
1.48733968,0
1.10177663,2.453
1.20629314,0
1.1385699,2.387
0.696432,0.442
1.44302963,0
1.63822644,2.35
1.54567242,3.71
1.22570062,3.428
1.23258991,0
1.16227045,0
1.3590947,3.252
1.33547849,1.489
1.67334478,0.87
1.55529689,2.813
1.34684049,0
1.47923127,1.951
2.12584126,0.466
1.59425336,2.367
1.64592728,3.393
1.35241613,2.367
1.21098845,0
0.84012779,1.962
1.35125476,1.797
1.15904634,0
1.19476666,1.868
1.23705339,1.489
1.26536098,0.442
1.55496846,2.832
1.37762011,0
0.78131523,0
0.99897162,0.466
1.14646186,0
1.46255925,0.466
1.23947477,0
1.29220103,0
1.8818047,0.485
1.03123718,1.368
1.00120338,2.367
1.42798659,0
0.99474977,1.951
1.82373637,0
1.20130837,1.128
1.32504495,0.466
1.3258635,0
1.13617981,4.611
1.5329989,0
0.79821936,1.551
0.78995375,0.466
1.2894183,1.348
1.34494733,1.085
1.28554701,0.466
1.12848894,0.877
1.26999976,0
1.71146701,0
1.55457374,0
1.63216071,1.465
1.38376633,1.882
1.34757988,4.47
1.62328395,0.417
1.39445781,2.512
0.95572703,1.845
1.1837974,0
1.75028385,0
1.08254254,0.466
1.44886032,2.107
1.36612876,0.417
1.52525791,1.417
1.62582163,0
1.25484707,1.417
0.89116103,0
1.44644239,0
1.77648719,0.442
0.99636553,1.549
1.90412945,1.324
1.25810909,1.38
1.01391724,1.149
1.11767084,4.157
0.84162047,1.643
0.79066191,0.908
1.15279423,0
1.47244962,0.931
1.09313752,0.534
1.73289593,0.931
1.11579532,0.466
1.04525699,2.367
1.28303232,0
1.37415483,1.465
1.11993444,0
1.17878454,0.442
0.8814517,1.325
1.11800806,0.465
1.39028,5.25
1.45404899,0.931
1.70943099,0.465
0.82801918,0
1.19328059,0.466
1.54442652,2.519
0.91408118,1.859
1.48007356,1.348
1.25986476,0
1.604896,4.094
1.37263825,1.072
1.37884069,4.22
1.8128722,4.004
1.12450704,0.465
1.83958181,0.643
1.49623548,1.306
1.1893235,0
1.34076461,1.484
1.25352168,0.643
1.18854306,0.534
1.24634636,0
1.24878122,0
1.41646821,1.955
1.24227213,1.833
1.37732907,0.465
1.30626606,1.42
0.90371519,0.466
1.05588076,1.019
0.92697955,0.883
0.83328003,1.396
1.22575198,4.066
1.0293545,0.466
0.90024889,0
0.98927258,2.233
1.58288218,0.466
1.23030869,2.196
1.20429779,0
1.26758117,0
1.32987775,2.977
1.45198162,3.664
1.32473418,3.219
0.96471609,0.534
1.77127782,2.792
1.13850911,1.404
1.85557142,1.643
0.81850281,0
1.3131777,1.019
1.46981584,0
1.25240249,1.004
1.34915741,1.417
1.39994978,0
0.99409187,0.465
1.45048021,3.05
1.3937105,1.085
0.92921226,0.488
0.71952877,5.117
1.76891865,0
1.4554866,2.128
0.99313115,0
1.78054106,1.55
1.56097439,3.391
1.07486254,0
1.23038077,1.085
1.70559047,1.335
0.9947335,0.883
1.56066587,2.367
1.47414223,1.325
1.59261125,5.143
1.00907608,3.284
1.49492815,3.221
1.2100937,0.877
1.28176826,2.109
0.90614934,1.484
1.21419681,0
1.18573225,3.085
1.71127613,0.465
1.29721687,0.859
1.09444621,1.553
1.42141312,0.976
1.19487489,2.149
1.02720774,0
1.57924757,2.416
1.52411474,3.997
1.60674506,1.643
1.58366492,0
0.86097493,2.04
0.98028038,0
1.59384543,0.417
1.18394175,3.331
1.66787009,0
1.316365,0
1.27928682,1.613
1.1304235,6.971
1.43795101,0.485
1.49345589,0.534
1.49893146,4.248
0.78647624,1.989
1.70758006,0
0.83229829,1.412
1.0760245,1.393
0.82639341,0
1.21130875,4.203
0.95846531,0.466
1.2442598,1.294
1.38578494,3
1.25139782,2.102
1.28374841,0.466
0.95298993,0
0.90950957,0
1.71673351,2.326
1.36830964,1
1.07276487,0.951
1.4034707,3.319
1.90189959,2.415
1.38366894,0.466
1.13313913,4.746
1.08239726,1.402
1.63619588,1.777
1.28864762,4.321
1.54933471,0.534
1.13731136,2.508
0.673753,0.643
1.64545759,2.91
1.35021988,1
1.32952938,3.063
1.25840435,0
1.66493351,1.469
1.22005674,7.121
1.28289245,1.907
1.04689679,0
1.26653569,0
0.99267463,0
1.51192262,0.465
1.63916226,0
0.95166505,2.369
1.33627979,4.022
1.38394947,0
0.96160417,0.908
0.87377171,3.849
0.96748244,1.902
1.62640378,0
1.35890318,0
1.13549614,2.015
1.10370124,3.128
1.38258529,2.314
1.79920332,1.95
1.28460517,1.792
1.33931338,0.466
0.98760992,0.931
1.46023643,5.53
1.04875183,0
1.4554283,0
1.13608703,2.508
1.32157788,3.341
1.63551557,0.442
1.25035248,2.3
1.61352683,0.931
1.44741624,1.907
1.52167176,3.572
1.34872704,0.908
0.50539579,1.833
1.53996458,0.442
0.57147687,0
1.27752098,0
1.41883476,0
0.75183822,0
1.49375492,0.466
0.7544578,0.442
1.15138823,1.465
1.29559845,1
1.03197803,0.466
1.12739354,1.404
1.10690462,0
1.61697836,0
1.54722173,0
1.83990198,6.624
1.66035623,1.873
0.76972098,1.287
1.12823264,3.375
1.47328919,2.108
1.17461878,0.465
1.65811042,0
1.45094741,7.302
1.73479396,0
1.58330539,0.442
1.17168006,1.465
1.33100526,2.593
1.19028217,3.745
1.33759405,1.526
1.38454235,0.907
1.14082612,0.643
1.04249626,0
1.50790628,0.534
1.55275501,1.019
1.65037817,0.404
1.51034978,0
1.20023137,1
1.39440368,0.931
1.42617095,4.493
1.56702893,2.192
1.53160655,1.902
1.15248261,0
1.33831289,0.442
1.36077214,0.466
1.39195647,0
1.41363006,1
0.86111334,1.368
1.3106342,1.79
1.04026,3.342
1.9541246,0.465
1.77713116,2.392
1.26336175,3.485
1.46066295,2.834
1.36845106,3.535
1.10335132,0
1.60995563,0.442
1.97972379,1.968
1.24310907,7.034
1.08219256,0.883
1.57489777,2.125
1.59515239,1.423
1.06319586,0.883
0.86940127,0
2.06933578,0
1.32425184,0.465
0.91933331,2.456
1.16848724,3.297
1.51144651,4.534
1.21284059,2.434
1.54505055,9.579
1.25332323,0.466
2.0500976,1.06
1.43350147,3.712
1.3395045,2.085
1.63648846,0.883
1.01844354,0.465
1.46363742,2.705
1.41916919,0.465
1.07301448,1.324
1.24592059,1.355
0.77254659,1.085
1.32992715,0.442
1.23516552,6.85
1.40797568,1.085
1.43614241,0.466
1.07118444,0
1.52787275,1.754
1.64784235,0
1.32832423,0
1.47040369,0.534
1.26680837,0
1.36149835,4.518
1.13051764,0.465
1.36745862,3.631
1.30843838,2.73
1.89710971,0.931
1.22707797,2.834
1.35858709,0
1.42383873,0.931
0.89841745,2.108
1.56871594,1.95
1.52319144,1.907
1.03129646,1.412
1.26361794,1.882
1.4276923,1.48
1.4765712,1.574
1.09280002,1.055
1.55839911,0.931
1.14992357,1.325
1.31435794,1.886
1.15915585,5.421
1.28685746,0.412
1.44316152,0
1.68010296,0
0.78422881,0.417
0.91619803,0.417
1.22367136,0
1.70585074,1
1.30582538,4.17
1.44243042,6.985
1.39693548,1.085
1.10209552,0
1.44568178,0.643
1.6430198,0
1.34965787,0.643
1.55874359,1.465
1.19033011,1
1.32754001,0
1.72085524,0
1.81469753,1.177
1.53396673,0
1.86700993,1.019
1.07082826,3.393
1.68535396,1.35
0.8986969,4.258
1.37240547,1.348
1.93710036,0.87
1.70566939,3.573
1.46422942,1.324
1.59847778,0
1.2252209,2.189
1.2630637,1.149
1.75338711,0.464
1.0249758,0.883
0.77120177,0.643
1.34174474,0.442
1.31563982,1.442
1.47668252,0.846
1.10843748,2.55
0.94245779,0.442
1.25946273,0
1.02987597,0.442
0.85035824,0
1.40189934,0.534
1.25727897,3.298
0.90487853,1.978
1.67649324,0
1.73346463,0.907
0.80764904,0.883
1.15094601,0.534
1.60963631,9.362
1.43646553,0.442
1.25423966,1.545
1.04621737,0
1.43599755,2.56
1.32209455,0
1.31357782,3.661
1.51148352,0.464
1.74908258,0.466
1.49327284,2.567
1.32702164,1.417
0.97890215,0.466
1.376494,0.534
1.31291626,1.312
1.30290258,0
1.34371639,1.858
1.01458044,7.486
1.2939302,1.373
1.10810289,2.796
1.22915744,0
1.5694947,0.883
0.63134538,3.055
1.21641095,1
1.56038154,1.149
1.24734617,0
1.96831895,0.442
0.91473355,1.95
1.14170866,0
1.53859795,3.848
1.59377402,0.643
1.48933334,2.828
1.58484252,3.716
1.77146651,3.382
1.25218726,2.324
1.10796668,1.241
1.73301081,0.908
1.49827185,1.902
1.20219869,1.707
1.36451843,3.856
1.02107061,0.442
1.44401048,0
1.95182705,0.417
1.23434789,1.38
1.50132817,3.196
1.2261317,4.317
1.19559648,1.003
1.47347267,1.019
1.09135893,0
1.00295973,0.417
1.41195756,1.416
1.57448093,1.573
1.20096813,1.643
1.30621786,2.719
0.9313932,6.173
1.1506583,1.442
0.89681339,3.433
1.43643904,0
0.68784789,1.436
0.84748322,0.466
1.45499288,2.016
0.91453974,2.71
1.56064139,3.5
1.63293505,0
2.12778679,0.465
1.87091867,2.415
1.39659504,0.417
1.32903342,0
1.55575117,1
1.49789303,2.298
0.78550434,3.99
1.63647927,0.951
1.38352976,0
1.73542948,4.422
1.32697396,0.883
1.40687224,0.534
1.39464292,3.139
1.22598884,0.908
1.39673613,0
1.65344557,1.968
1.82435234,1.404
1.476496,2.326
1.32081488,0.404
1.25139935,1.287
1.01689566,1
0.93778654,4.405
1.37142248,1.859
1.54455678,1.441
1.22200649,0.902
1.10202504,0
1.80003198,0
1.72262378,0
1.54125461,3.613
1.32784605,2.003
1.63866137,0.466
1.66376189,1.465
1.54835933,0.404
1.54045433,0
1.4152258,3.372
0.81458989,0
1.85123755,0.466
1.74316554,0
0.84602502,1.816
1.17131388,2.901
0.78893672,1.287
1.43530535,1.42
0.94092698,0
1.33818952,7.752
1.522525,2.016
1.44900137,0
1.10044022,2.22
1.49108602,1.068
1.30484254,3.3
1.01833999,2.779
1.38348451,0
0.93680422,1.8
1.02395641,0.951
1.53930419,2.883
0.90866331,0
1.45384095,3.805
1.62397398,0.93
1.73355083,0
1.23052631,0
1.84162,0.465
1.57611199,0
1.12087616,3.558
1.2376945,2.107
1.60244663,1.108
0.79679183,2.367
1.5461824,0
1.72968725,0.829
1.51597161,0.404
1.6061313,0
1.7203816,3.664
1.44820161,1.906
0.83716845,0
1.05104288,0
1.39039369,2.196
1.50449964,1.404
1.30143388,0.442
1.20494333,3.73
1.24300648,2.196
0.97368732,0
1.40454295,2.362
1.49239269,0.465
1.20116247,0.466
0.70130386,0
1.29345891,0
1.10606303,0
1.57550696,0
1.38658202,0.465
1.18775416,0
1.55101681,0.442
1.60873766,4.812
0.99959673,0.417
1.53647921,2.814
1.59325369,1.882
0.89463435,0.883
1.28326018,0
1.49013541,0.466
1.12938038,2.085
1.10676372,3.158
1.51169236,0
1.20556323,6.139
1.42870756,0
1.41243157,4
1.27023476,0.466
0.97475393,0
1.7765039,4.016
1.45547523,0
1.59895271,1.484
1.41134761,2.954
1.31434469,0.417
1.368251,0.466
1.54173148,6.094
1.19619953,0
1.28014654,0.877
1.51545091,0
1.35455651,3.722
1.65066295,6.356
1.05809262,1.25
0.5606597,0.466
1.5695002,0.976
1.22098638,0.938
1.30156624,1.95
1.74736501,0
1.61482455,7.461
1.1716956,1
1.18122887,1.415
1.31918857,0
0.94436043,0
1.43775228,0.466
1.434036,0
1.61773536,5.09
1.35962085,0
0.60680445,1.95
1.27811235,0
1.83131073,0.417
1.16736289,1.372
0.98922822,0.999
0.82953597,1.57
1.43844438,0.412
0.85538879,0
1.20225967,0.883
0.91149639,0
1.47808362,2.271
1.4022706,0
1.13904428,0.442
1.57799575,2.415
1.11817868,0
1.50677569,0.442
1.81257887,0
0.71157393,1.615
1.35816463,0
0.98900169,0.442
1.43545128,2.881
1.14543202,0
1.58764256,0.465
1.36560095,1.902
0.99398323,3.28
1.07364907,0.466